Date,Name,Year,Letterboxd URI
2025-01-02,I'm Still Here,2024,https://boxd.it/BPEO
2025-01-02,Apur Sansar,1959,https://boxd.it/29l6
2025-01-02,Ordet,1955,https://boxd.it/Jiy
2025-01-02,An Elephant Sitting Still,2018,https://boxd.it/i1EQ
2025-01-02,Landscape in the Mist,1988,https://boxd.it/JRy
2025-01-02,Army of Shadows,1969,https://boxd.it/1Mli
2025-01-02,Paper Moon,1973,https://boxd.it/1Ud2
2025-01-02,A Man Escaped,1956,https://boxd.it/1MzY
2025-01-02,All About Eve,1950,https://boxd.it/29LI
2025-01-02,The Thing,1982,https://boxd.it/294O
2025-01-02,Where Is the Friend's House?,1987,https://boxd.it/ELg
2025-01-02,Red Beard,1965,https://boxd.it/251m
2025-01-02,Scenes from a Marriage,1974,https://boxd.it/4kJC
2025-01-02,Eternity and a Day,1998,https://boxd.it/1wSq
2025-01-02,Little Women,2019,https://boxd.it/aSVk
2025-01-02,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2025-01-02,Pride & Prejudice,2005,https://boxd.it/24u8
2025-01-02,Black Swan,2010,https://boxd.it/Sw0
2025-01-02,Little Miss Sunshine,2006,https://boxd.it/29EW
2025-01-02,Mamma Mia!,2008,https://boxd.it/1Tnq
2025-01-02,About Time,2013,https://boxd.it/43bI
2025-01-02,"Girl, Interrupted",1999,https://boxd.it/25ds
2025-01-02,Her,2013,https://boxd.it/4O24
2025-01-02,Tangled,2010,https://boxd.it/15gO
2025-01-02,(500) Days of Summer,2009,https://boxd.it/1EmM
2025-01-02,The Devil Wears Prada,2006,https://boxd.it/2awE
2025-01-02,Bones and All,2022,https://boxd.it/tLd4
2025-01-02,Fallen Angels,1995,https://boxd.it/1UkW
2025-01-02,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG
2025-01-02,How to Train Your Dragon,2010,https://boxd.it/1WRy
2025-01-02,Pearl,2022,https://boxd.it/zPbe
2025-01-02,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://boxd.it/8LnQ
2025-01-02,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2025-01-02,The First Slam Dunk,2022,https://boxd.it/tt94
2025-01-02,Tokyo Godfathers,2003,https://boxd.it/1Qg2
2025-01-02,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,https://boxd.it/1ULy
2025-01-02,Song of the Sea,2014,https://boxd.it/3Ic6
2025-01-02,Kizumonogatari Part 3: Reiketsu,2017,https://boxd.it/cq8y
2025-01-02,Wolfwalkers,2020,https://boxd.it/fGrC
2025-01-02,Flee,2021,https://boxd.it/ponM
2025-01-02,Son of the White Mare,1981,https://boxd.it/10f2
2025-01-02,Azur & Asmar: The Princes' Quest,2006,https://boxd.it/1FQy
2025-01-02,Persepolis,2007,https://boxd.it/27DC
2025-01-02,Mind Game,2004,https://boxd.it/1Bv2
2025-01-02,"Night Is Short, Walk On Girl",2017,https://boxd.it/ffwA
2025-01-02,Klaus,2019,https://boxd.it/ipoi
2025-01-02,Angel's Egg,1985,https://boxd.it/1LeA
2025-01-02,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie
2025-01-02,Kiki's Delivery Service,1989,https://boxd.it/1JAY
2025-01-02,The Garden of Sinners: Paradox Spiral,2008,https://boxd.it/1zA0
2025-01-02,Ernest & Celestine,2012,https://boxd.it/493A
2025-01-02,Coco,2017,https://boxd.it/bYJQ
2025-01-02,The Tragedy of Man,2011,https://boxd.it/3SeQ
2025-01-02,The Wolf House,2018,https://boxd.it/i1vE
2025-01-02,Interface,2022,https://boxd.it/DDhs
2025-01-02,Wolf Children,2012,https://boxd.it/3Ipk
2025-01-02,Crayon Shin-chan: The Adult Empire Strikes Back,2001,https://boxd.it/18DG
2025-01-02,The Final Exit of the Disciples of Ascensia,2019,https://boxd.it/mpRC
2025-01-02,Blue Giant,2023,https://boxd.it/xwJW
2025-01-02,Ghost in the Shell,1995,https://boxd.it/1YYc
