Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-02-26,Zootopia 2,2025,https://boxd.it/dj5kmh,4,,"You can tell a lot of love went into this by people that love the medium. Mostly a clichéd children's movie with just enough style, thoughtful messaging, witty writing, and self awareness to elevate it.",,2025-12-19
2026-02-26,The Count of Monte Cristo,2024,https://boxd.it/dj5kmr,5,,"A valuable retelling of Dumas' epic novel. Unfortunately, the shorter runtime means a lot of the thematic depth and plot nuances were lost. This is definitely the Spark Notes version for an audience raised on a diet of short form. That being said, a swashbuckling epic with many emotional highs and gripping throughout",,2025-12-30
2026-02-26,The Sixth Sense,1999,https://boxd.it/dj5kmB,5,,"One of the greatest films of all time. A sentimental horror with, perhaps, the most astounding twist in all of cinema. What a shame that Shyamalan has lived in the shadow of this masterpiece and been unable to move on.

Haley Joel Osment gives one of the best child performances you can hope to see، and Bruce Willis is equally stellar.

Toni Collette IS horror's mom.

That school is really screwed up, man.",,2025-12-30
2026-02-26,Stranger Things 5: The Finale,2025,https://boxd.it/dj5kmL,4,,"I feel like I just broke up with a toxic girlfriend this last ep was so emotionally manipulative

Also I didn't know decapitation was back in style

Jamie Bower was phenomenal

It's pretty ridiculous that some kids in Indiana went up against Cthulu though.",,2026-01-01
2026-02-26,Citizen Kane,1941,https://boxd.it/dj5kmV,3,,"From a historical perspective it is one of the most important and essential films ever created. Every film student & movie buff should see it just for that purpose. That being said, it certainly does not hold up at all today. It should not be viewed as a masterpiece that can contend with modern Hollywood, but rather an invaluable piece of cinema history.",,2026-01-06
2026-02-26,True Grit,1969,https://boxd.it/dj5knf,3.5,,"John Wayne is the stiffest ""actor"" a person will ever lay eyes on",,2026-01-09
2026-02-26,The Wind Rises,2013,https://boxd.it/dj5knp,3.5,,My least favorite Miyazaki movie. This is perhaps the only one that has no real reason to be an anime.,,2026-01-09
2026-02-26,All That's Left of You,2025,https://boxd.it/dj5knz,5,,"Seen at Middle East Books in DC:

A powerful journey demonstrating the unimpeachable value of the human spirit, while it is in this world and after it has passed on. An important & heartwrenching film. We need more stories like this in cinema. Deftly shot, acted, produced.",,2026-01-16
2026-02-26,Saloum,2021,https://boxd.it/dj5knJ,3.5,,Sinners prototype,,2026-01-17
2026-02-26,How Green Was My Valley,1941,https://boxd.it/dj5kpb,5,,I think this is way better than Citizen Kane.,,2026-01-19
2026-02-26,Beau Is Afraid,2023,https://boxd.it/dj5kpl,3,Yes,"The most self-indulgent and pretentious slog you'll ever have to endure. I get that Aster is trying to depict Jewish anxiety, especially about death (""You will find them to be the most covetous people of life, and from the polytheists. One of them wishes to live for a thousand years, though he would not escape torment were he to live that long."") & overbearing motherhood.

It has some fascinating scenes & interesting ideas but the entire thing just screams that someone should have told Aster, ""no."" If there were a very very significant amount of pushback & critique, this could have been something special. But Aster should not be given unrestricted creative license.",,2026-01-20
2026-02-26,It Was Just an Accident,2025,https://boxd.it/dj5kpv,3,,Very disappointing. Meandering. Directionless. Morally confused.,,2026-02-03
2026-02-26,Okja,2017,https://boxd.it/dj5kpF,3.5,,"A bizarre film. I guess intended to communicate the horror of mass animal slaughter & genetic modifications. Jake Gyllenhal is one of my favorite actors but this is his worst performance, although I think he did exactly what he was directed to do. A morally confused & strange piece.",,2026-02-08
2026-02-26,La Haine,1995,https://boxd.it/dj5kpP,5,,"""Do you believe in God? That's the wrong question. The correct question is: does God believe in us?""",,2026-02-09
2026-02-26,Monster,2023,https://boxd.it/dj5kpZ,3.5,,So many good things about this film. So many things to admire. Sexualizing children is not one of them.,,2026-02-09
2026-02-26,The Royal Tenenbaums,2001,https://boxd.it/dj5kq9,4,,His style wasn't completely developed here,,2026-02-12
2026-02-26,Lady Vengeance,2005,https://boxd.it/dj5kqj,3.5,,Pretty disjointed. Some disorienting transitions. Very clearly the work of a Park Chan Wook in process.,,2026-02-14
2026-02-26,Blue Velvet,1986,https://boxd.it/dj5kqt,5,,"Does the fact that everyone has the capacity to both commit evil acts & enjoy the infliction of evil on others mean we cannot be truly loving and therefore happy? Or is it possible to transcend our darker natures of sadism & masochism? What happens when we confuse the purity of true love with the Shaytanic indulgences of violence?

This movie is quite restrained for David Lynch when compared to something like Mullholand Drive or Twin Peaks: The Return. I do find Lynch more enjoyable when there is a more tangible plot, however bizarre.",,2026-02-15
2026-02-26,Resurrection,2025,https://boxd.it/dj5kqD,5,,"Seen at the National Museum of Asian Art, Freer Gallery:

The motion picture itself is a kind of rebellion against the ephemral nature of life. Everything that lives ultimately dies and is erased. A film is an attempt to capture a microcosm, to construct an ideal simulacrum of life and render it available for repeated future viewings.

This movie is a celebration of cinema's rebellion against transcience & a meditation on the beauty of impermanent things.

I don't typically enjoy anthologies. I would rather have one fully fleshed out idea than several half-baked ones. And each of the five stories here could have been their own movie.

What makes Resurrection unique is the clear central theme & persistent character of the delieriant. It is him dying & being reborn until the end of time, experiencing countless transient moments. Some of them are truly horrific, whereas others are full of indescribable joy.

Somehow Bi Gan has done the unthinkable. In a 2 1/2 hour runtime, he has crafted an amazing silent short, a supernatural crime noir, a meditative Buddhist ghost story, a charming adopted son crime drama, and a vampire romance. All within the context of a sci-fi dystopia. 

Typically, these kinds of films can come off as incredibly disjointed. That was my problem with Coogler's Sinners - too many good ideas packed into one story. Bi Gan could certainly have turned Resurrection into a series of films. Yet, there is a kind of emotional coherence & plot muddiness that makes this work.

Resurrection is also full of some of the best cinematography the medium has ever known. It is as if Bi Gan was able to distill some of the greatest shots in cinema history & give himself a canvas to weave them all together. Whether the shocking image of a Chinese detective in '60s clothing cutting open a covert operative only to catch aflame from the mystical dimension underneath his skin to a haunted Buddhist temple in the early morning being speckled by snow to the image of an estranged daughter's final burnt letter floating out of a box into the wind or a vampire crime overlord singing karaoke as his goons beat a man almost to death. Each of these pistáches is brought together in this kalodeiscopic tapestry of cinematic excellence.

In the end, Bi Gan pays his respects to the audience themselves. Casting us as beings of pure light in the cathedral of art, as each moviegoer fades into nothingness.

An absolutely singular ode to the always fading beauty of life & cinema.",,2026-02-15
